"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"34","distribution",5,"Tiger","training","6","c(2, 2, 2)","fruits","mammals","vehicles","melon","cow","airplane","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"35","distribution",5,"Tiger","test","choice","c(2, 2, 2)","fruits","mammals","vehicles","grapes","bear","motorbike",NA,"bear","item_m","mammals",NA,0,1,0,"mammals",1,"8603ccb44d04ad3ce673391dbc4d3a0a"
"36","distribution",6,"Mouse","training","1","c(2, 2, 2)","mammals","vehicles","instruments","cat","boat","guitar","cat","cat","item_l","mammals",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"37","distribution",6,"Mouse","training","2","c(2, 2, 2)","mammals","vehicles","instruments","car","piano","dog","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"38","distribution",6,"Mouse","training","3","c(2, 2, 2)","mammals","vehicles","instruments","xylophone","monkey","truck","xylophone","xylophone","item_l","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"39","distribution",6,"Mouse","training","4","c(2, 2, 2)","mammals","vehicles","instruments","elephant","trumpet","motorbike","motorbike","motorbike","item_r","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"40","distribution",6,"Mouse","training","5","c(2, 2, 2)","mammals","vehicles","instruments","flute","airplane","cow","airplane","airplane","item_m","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"41","distribution",6,"Mouse","training","6","c(2, 2, 2)","mammals","vehicles","instruments","bus","drum","bear","bear","bear","item_r","mammals",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"42","distribution",6,"Mouse","test","choice","c(2, 2, 2)","mammals","vehicles","instruments","horse","violin","train",NA,"horse","item_l","mammals",NA,1,0,0,"mammals",1,"8603ccb44d04ad3ce673391dbc4d3a0a"
"43","distribution",1,"Pig","training","1","c(2, 2, 2)","instruments","fruits","furniture","sofa","flute","orange","sofa","sofa","item_l","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"44","distribution",1,"Pig","training","2","c(2, 2, 2)","instruments","fruits","furniture","pineapple","xylophone","drawer","drawer","drawer","item_r","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"45","distribution",1,"Pig","training","3","c(2, 2, 2)","instruments","fruits","furniture","violin","grapes","table","violin","violin","item_l","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"46","distribution",1,"Pig","training","4","c(2, 2, 2)","instruments","fruits","furniture","strawberry","closet","guitar","guitar","guitar","item_r","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"47","distribution",1,"Pig","training","5","c(2, 2, 2)","instruments","fruits","furniture","stool","melon","trumpet","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"48","distribution",1,"Pig","training","6","c(2, 2, 2)","instruments","fruits","furniture","piano","chair","banana","banana","banana","item_r","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"49","distribution",1,"Pig","test","choice","c(2, 2, 2)","instruments","fruits","furniture","lamp","drum","apple",NA,"apple","item_r","fruits",NA,0,1,0,"fruits",1,"b3894910c43320860e7bc15a87d7e450"
"50","distribution",2,"Bunny","training","1","c(4, 2, 0)","fruits","furniture","vehicles","airplane","grapes","stool","stool","stool","item_r","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"51","distribution",2,"Bunny","training","2","c(4, 2, 0)","fruits","furniture","vehicles","drawer","pineapple","bus","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"52","distribution",2,"Bunny","training","3","c(4, 2, 0)","fruits","furniture","vehicles","train","orange","lamp","orange","orange","item_m","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"53","distribution",2,"Bunny","training","4","c(4, 2, 0)","fruits","furniture","vehicles","car","table","melon","melon","melon","item_r","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"54","distribution",2,"Bunny","training","5","c(4, 2, 0)","fruits","furniture","vehicles","boat","strawberry","sofa","strawberry","strawberry","item_m","fruits",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"55","distribution",2,"Bunny","training","6","c(4, 2, 0)","fruits","furniture","vehicles","apple","truck","closet","closet","closet","item_r","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"56","distribution",2,"Bunny","test","choice","c(4, 2, 0)","fruits","furniture","vehicles","chair","motorbike","banana",NA,"banana","item_r","fruits",NA,1,0,0,"furniture",0,"b3894910c43320860e7bc15a87d7e450"
"57","distribution",3,"Dog","training","1","c(6, 0, 0)","furniture","vehicles","clothes","skirt","lamp","car","lamp","lamp","item_m","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"58","distribution",3,"Dog","training","2","c(6, 0, 0)","furniture","vehicles","clothes","chair","pants","airplane","chair","chair","item_l","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"59","distribution",3,"Dog","training","3","c(6, 0, 0)","furniture","vehicles","clothes","socks","closet","bus","closet","closet","item_m","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"60","distribution",3,"Dog","training","4","c(6, 0, 0)","furniture","vehicles","clothes","motorbike","jacket","bed","bed","bed","item_r","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"61","distribution",3,"Dog","training","5","c(6, 0, 0)","furniture","vehicles","clothes","dress","stool","truck","stool","stool","item_m","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"62","distribution",3,"Dog","training","6","c(6, 0, 0)","furniture","vehicles","clothes","shirt","train","table","table","table","item_r","furniture",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"63","distribution",3,"Dog","test","choice","c(6, 0, 0)","furniture","vehicles","clothes","shoes","sofa","boat",NA,"sofa","item_m","furniture",NA,1,0,0,"furniture",1,"b3894910c43320860e7bc15a87d7e450"
"64","distribution",4,"Tiger","training","1","c(6, 0, 0)","vehicles","clothes","mammals","skirt","horse","motorbike","motorbike","motorbike","item_r","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"65","distribution",4,"Tiger","training","2","c(6, 0, 0)","vehicles","clothes","mammals","dog","train","shoes","train","train","item_m","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"66","distribution",4,"Tiger","training","3","c(6, 0, 0)","vehicles","clothes","mammals","monkey","socks","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"67","distribution",4,"Tiger","training","4","c(6, 0, 0)","vehicles","clothes","mammals","bus","shirt","cat","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"68","distribution",4,"Tiger","training","5","c(6, 0, 0)","vehicles","clothes","mammals","pants","car","elephant","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"69","distribution",4,"Tiger","training","6","c(6, 0, 0)","vehicles","clothes","mammals","airplane","dress","cow","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"70","distribution",4,"Tiger","test","choice","c(6, 0, 0)","vehicles","clothes","mammals","boat","bear","jacket",NA,"boat","item_l","vehicles",NA,1,0,0,"vehicles",1,"b3894910c43320860e7bc15a87d7e450"
"71","distribution",5,"Elephant","training","1","c(2, 2, 2)","clothes","mammals","instruments","pants","bear","xylophone","bear","bear","item_m","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"72","distribution",5,"Elephant","training","2","c(2, 2, 2)","clothes","mammals","instruments","elephant","dress","drum","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"73","distribution",5,"Elephant","training","3","c(2, 2, 2)","clothes","mammals","instruments","violin","socks","monkey","violin","violin","item_l","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"74","distribution",5,"Elephant","training","4","c(2, 2, 2)","clothes","mammals","instruments","guitar","shirt","cat","cat","cat","item_r","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"75","distribution",5,"Elephant","training","5","c(2, 2, 2)","clothes","mammals","instruments","piano","dog","jacket","piano","piano","item_l","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"76","distribution",5,"Elephant","training","6","c(2, 2, 2)","clothes","mammals","instruments","shoes","flute","cow","shoes","shoes","item_l","clothes",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"77","distribution",5,"Elephant","test","choice","c(2, 2, 2)","clothes","mammals","instruments","trumpet","horse","skirt",NA,"skirt","item_r","clothes",NA,1,0,0,"clothes",1,"b3894910c43320860e7bc15a87d7e450"
"78","distribution",6,"Beaver","training","1","c(4, 2, 0)","mammals","instruments","fruits","elephant","flute","apple","elephant","elephant","item_l","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"79","distribution",6,"Beaver","training","2","c(4, 2, 0)","mammals","instruments","fruits","xylophone","banana","horse","horse","horse","item_r","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"80","distribution",6,"Beaver","training","3","c(4, 2, 0)","mammals","instruments","fruits","orange","guitar","bear","guitar","guitar","item_m","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"81","distribution",6,"Beaver","training","4","c(4, 2, 0)","mammals","instruments","fruits","piano","monkey","pineapple","piano","piano","item_l","instruments",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"82","distribution",6,"Beaver","training","5","c(4, 2, 0)","mammals","instruments","fruits","cow","melon","drum","cow","cow","item_l","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"83","distribution",6,"Beaver","training","6","c(4, 2, 0)","mammals","instruments","fruits","strawberry","trumpet","dog","dog","dog","item_r","mammals",1,NA,NA,NA,NA,NA,"b3894910c43320860e7bc15a87d7e450"
"84","distribution",6,"Beaver","test","choice","c(4, 2, 0)","mammals","instruments","fruits","grapes","violin","cat",NA,"cat","item_r","mammals",NA,1,0,0,"mammals",1,"b3894910c43320860e7bc15a87d7e450"
"85","distribution",1,"Elephant","training","1","c(4, 2, 0)","furniture","vehicles","fruits","orange","closet","car","closet","closet","item_m","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"86","distribution",1,"Elephant","training","2","c(4, 2, 0)","furniture","vehicles","fruits","table","grapes","motorbike","motorbike","motorbike","item_r","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"87","distribution",1,"Elephant","training","3","c(4, 2, 0)","furniture","vehicles","fruits","apple","chair","bus","chair","chair","item_m","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"88","distribution",1,"Elephant","training","4","c(4, 2, 0)","furniture","vehicles","fruits","melon","lamp","train","lamp","lamp","item_m","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"89","distribution",1,"Elephant","training","5","c(4, 2, 0)","furniture","vehicles","fruits","strawberry","truck","drawer","drawer","drawer","item_r","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"90","distribution",1,"Elephant","training","6","c(4, 2, 0)","furniture","vehicles","fruits","pineapple","boat","sofa","boat","boat","item_m","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"91","distribution",1,"Elephant","test","choice","c(4, 2, 0)","furniture","vehicles","fruits","airplane","banana","bed",NA,"bed","item_r","furniture",NA,1,0,0,"vehicles",0,"267b6d40ca68660ba4a18049c403117a"
"92","distribution",2,"Cat","training","1","c(6, 0, 0)","vehicles","fruits","mammals","orange","airplane","bear","airplane","airplane","item_m","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"93","distribution",2,"Cat","training","2","c(6, 0, 0)","vehicles","fruits","mammals","cow","motorbike","apple","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"94","distribution",2,"Cat","training","3","c(6, 0, 0)","vehicles","fruits","mammals","pineapple","monkey","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"95","distribution",2,"Cat","training","4","c(6, 0, 0)","vehicles","fruits","mammals","bus","banana","dog","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"96","distribution",2,"Cat","training","5","c(6, 0, 0)","vehicles","fruits","mammals","horse","melon","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"97","distribution",2,"Cat","training","6","c(6, 0, 0)","vehicles","fruits","mammals","boat","grapes","elephant","boat","boat","item_l","vehicles",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"98","distribution",2,"Cat","test","choice","c(6, 0, 0)","vehicles","fruits","mammals","cat","car","strawberry",NA,"car","item_m","vehicles",NA,1,0,0,"vehicles",1,"267b6d40ca68660ba4a18049c403117a"
"99","distribution",3,"Sheep","training","1","c(2, 2, 2)","fruits","mammals","clothes","skirt","horse","grapes","horse","horse","item_m","mammals",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"100","distribution",3,"Sheep","training","2","c(2, 2, 2)","fruits","mammals","clothes","shoes","orange","bear","bear","bear","item_r","mammals",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"101","distribution",3,"Sheep","training","3","c(2, 2, 2)","fruits","mammals","clothes","socks","pineapple","cow","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"102","distribution",3,"Sheep","training","4","c(2, 2, 2)","fruits","mammals","clothes","jacket","monkey","melon","jacket","jacket","item_l","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"103","distribution",3,"Sheep","training","5","c(2, 2, 2)","fruits","mammals","clothes","dress","apple","dog","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"104","distribution",3,"Sheep","training","6","c(2, 2, 2)","fruits","mammals","clothes","cat","banana","pants","banana","banana","item_m","fruits",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"105","distribution",3,"Sheep","test","choice","c(2, 2, 2)","fruits","mammals","clothes","strawberry","shirt","elephant",NA,"strawberry","item_l","fruits",NA,1,0,0,"fruits",1,"267b6d40ca68660ba4a18049c403117a"
"106","distribution",4,"Beaver","training","1","c(2, 2, 2)","mammals","clothes","instruments","shoes","drum","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"107","distribution",4,"Beaver","training","2","c(2, 2, 2)","mammals","clothes","instruments","dress","guitar","cow","cow","cow","item_r","mammals",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"108","distribution",4,"Beaver","training","3","c(2, 2, 2)","mammals","clothes","instruments","trumpet","socks","bear","trumpet","trumpet","item_l","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"109","distribution",4,"Beaver","training","4","c(2, 2, 2)","mammals","clothes","instruments","horse","jacket","violin","jacket","jacket","item_m","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"110","distribution",4,"Beaver","training","5","c(2, 2, 2)","mammals","clothes","instruments","flute","skirt","cat","skirt","skirt","item_m","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"111","distribution",4,"Beaver","training","6","c(2, 2, 2)","mammals","clothes","instruments","pants","dog","xylophone","xylophone","xylophone","item_r","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"112","distribution",4,"Beaver","test","choice","c(2, 2, 2)","mammals","clothes","instruments","monkey","piano","shirt",NA,"monkey","item_l","mammals",NA,1,0,0,"instruments",0,"267b6d40ca68660ba4a18049c403117a"
"113","distribution",5,"Frog","training","1","c(6, 0, 0)","clothes","instruments","furniture","piano","sofa","shoes","shoes","shoes","item_r","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"114","distribution",5,"Frog","training","2","c(6, 0, 0)","clothes","instruments","furniture","flute","dress","lamp","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"115","distribution",5,"Frog","training","3","c(6, 0, 0)","clothes","instruments","furniture","stool","pants","xylophone","pants","pants","item_m","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"116","distribution",5,"Frog","training","4","c(6, 0, 0)","clothes","instruments","furniture","violin","drawer","socks","socks","socks","item_r","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"117","distribution",5,"Frog","training","5","c(6, 0, 0)","clothes","instruments","furniture","closet","drum","skirt","skirt","skirt","item_r","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"118","distribution",5,"Frog","training","6","c(6, 0, 0)","clothes","instruments","furniture","table","trumpet","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"119","distribution",5,"Frog","test","choice","c(6, 0, 0)","clothes","instruments","furniture","shirt","guitar","chair",NA,"shirt","item_l","clothes",NA,1,0,0,"clothes",1,"267b6d40ca68660ba4a18049c403117a"
"120","distribution",6,"Dog","training","1","c(4, 2, 0)","instruments","furniture","vehicles","xylophone","chair","train","xylophone","xylophone","item_l","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"121","distribution",6,"Dog","training","2","c(4, 2, 0)","instruments","furniture","vehicles","trumpet","bed","bus","bed","bed","item_m","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"122","distribution",6,"Dog","training","3","c(4, 2, 0)","instruments","furniture","vehicles","drum","stool","boat","stool","stool","item_m","furniture",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"123","distribution",6,"Dog","training","4","c(4, 2, 0)","instruments","furniture","vehicles","lamp","piano","truck","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"124","distribution",6,"Dog","training","5","c(4, 2, 0)","instruments","furniture","vehicles","guitar","sofa","car","guitar","guitar","item_l","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"125","distribution",6,"Dog","training","6","c(4, 2, 0)","instruments","furniture","vehicles","violin","motorbike","drawer","violin","violin","item_l","instruments",1,NA,NA,NA,NA,NA,"267b6d40ca68660ba4a18049c403117a"
"126","distribution",6,"Dog","test","choice","c(4, 2, 0)","instruments","furniture","vehicles","airplane","flute","closet",NA,"flute","item_m","instruments",NA,1,0,0,"instruments",1,"267b6d40ca68660ba4a18049c403117a"
"127","distribution",1,"Frog","training","1","c(2, 2, 2)","fruits","clothes","instruments","strawberry","violin","socks","strawberry","strawberry","item_l","fruits",1,NA,NA,NA,NA,NA,"b694920e9cee57a5cb98d93d636ad626"
